,Team,Game,Date,HC,Opponent,WINorLOSE,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OREB,TRB,AST,STL,BLK,TOV,PF,OPP_FG,OPP_FGA,OPP_FG_PCT,OPP_FG3,OPP_FG3A,OPP_FG3_PCT,OPP_FT,OPP_FTA,OPP_FT_PCT,OPP_ORB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF
187,PHI,7,01/11/2021,Home,POR,W,113,103,43,83,0.518,13,36,0.361,14,16,0.875,7,34,34,11,6,10,18,40,84,0.476,12,34,0.353,11,18,0.611,13,45,21,5,2,14,15
188,PHI,8,03/11/2021,Home,CHI,W,103,98,38,77,0.494,12,28,0.429,15,21,0.714,5,35,24,9,4,14,15,38,82,0.463,6,21,0.286,16,18,0.889,9,47,19,11,4,15,17
189,PHI,9,04/11/2021,Away,DET,W,109,98,41,83,0.494,12,32,0.375,15,22,0.682,15,49,22,8,3,12,17,35,87,0.402,11,36,0.306,17,19,0.895,12,41,21,6,2,11,18
190,PHI,10,06/11/2021,Away,CHI,W,114,105,43,81,0.531,13,26,0.5,15,19,0.789,6,41,22,6,5,14,22,37,92,0.402,7,29,0.241,24,30,0.8,18,46,20,7,1,9,19
191,PHI,11,08/11/2021,Home,NYK,L,96,103,35,91,0.385,13,40,0.325,13,16,0.813,12,47,20,7,6,8,13,40,91,0.44,13,40,0.325,10,13,0.769,14,55,25,4,4,13,18
192,PHI,12,09/11/2021,Home,MIL,L,109,118,42,103,0.408,14,43,0.326,11,12,0.917,13,46,21,7,7,7,20,44,95,0.463,15,39,0.385,15,21,0.714,12,52,21,5,6,8,10
193,PHI,13,11/11/2021,Home,TOR,L,109,115,40,88,0.455,11,34,0.324,18,19,0.947,9,39,29,8,8,12,16,42,96,0.438,14,33,0.424,17,17,1,16,47,25,10,7,11,18
194,PHI,14,13/11/2021,Away,IND,L,113,118,38,89,0.427,12,23,0.522,25,29,0.862,18,46,16,11,2,14,22,47,82,0.573,14,28,0.5,10,15,0.667,7,37,33,7,10,15,21
195,PHI,15,16/11/2021,Away,UTA,L,85,120,33,90,0.367,6,29,0.207,13,17,0.765,6,42,19,5,5,8,16,46,89,0.517,16,38,0.421,12,19,0.632,6,56,27,5,8,9,20
196,PHI,16,18/11/2021,Away,DEN,W,103,89,43,85,0.506,11,29,0.379,6,12,0.5,6,45,22,5,7,9,18,32,89,0.36,12,36,0.333,13,16,0.813,10,46,22,6,4,10,14
197,PHI,17,20/11/2021,Away,POR,L,111,118,41,81,0.506,10,28,0.357,19,21,0.905,3,32,24,7,4,11,24,40,80,0.5,15,34,0.441,23,23,1,5,38,23,6,7,12,21
