Team,Game,Date,HC,Opponent,WINorLOSE,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OREB,TRB,AST,STL,BLK,TOV,PF,OPP_FG,OPP_FGA,OPP_FG_PCT,OPP_FG3,OPP_FG3A,OPP_FG3_PCT,OPP_FT,OPP_FTA,OPP_FT_PCT,OPP_ORB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF
NOP,26,2021-12-05,Away,HOU,L,108,118,40,94,.426,10,38,.263,18,25,.720,22,50,19,9,9,7,26,39,79,.494,17,40,.425,23,29,.793,11,40,24,3,3,14,23
NOP,27,2021-12-08,Home,DEN,L,114,120,47,90,.522,11,30,.367,9,12,.750,10,46,32,8,5,22,22,45,88,.511,9,32,.281,21,27,.778,5,33,28,12,4,11,19
NOP,28,2021-12-10,Home,DET,W,109,93,41,95,.432,13,37,.351,14,16,.875,15,60,29,6,4,14,16,35,90,.389,12,37,.324,11,12,.917,7,38,22,7,6,12,15
NOP,29,2021-12-12,Away,SAS,L,97,112,40,94,.426,8,29,.276,9,15,.600,11,42,24,8,4,14,17,45,91,.495,7,25,.280,15,20,.750,15,55,31,11,5,13,19
NOP,30,2021-12-15,Away,OKC,W,113,110,39,80,.488,11,28,.393,24,36,.667,10,49,23,6,3,11,19,39,93,.419,13,35,.371,19,19,1.000,8,42,22,8,4,8,25
NOP,31,2021-12-17,Home,MIL,W,116,112,42,89,.472,13,37,.351,19,30,.633,13,57,34,10,3,20,13,45,104,.433,14,47,.298,8,10,.800,12,44,16,12,5,13,19
NOP,32,2021-12-21,Home,POR,W,111,97,42,80,.525,12,33,.364,15,18,.833,8,44,27,5,3,15,19,35,78,.449,13,34,.382,14,19,.737,7,31,18,12,4,10,17
NOP,33,2021-12-23,Away,ORL,W,110,104,37,86,.430,13,30,.433,23,26,.885,12,46,21,4,2,10,13,38,88,.432,9,32,.281,19,21,.905,10,44,19,6,11,8,26
NOP,34,2021-12-26,Away,OKC,L,112,117,39,94,.415,10,41,.244,24,28,.857,11,49,26,10,4,10,19,41,86,.477,13,36,.361,22,31,.710,7,47,24,8,5,12,23
NOP,35,2021-12-28,Home,CLE,W,108,104,36,80,.450,16,36,.444,20,26,.769,8,44,24,3,8,12,16,37,88,.420,14,41,.341,16,19,.842,11,42,27,6,3,7,19
NOP,36,2022-01-01,Away,MIL,L,113,136,39,95,.411,16,51,.314,19,30,.633,14,50,28,10,5,15,16,49,92,.533,23,48,.479,15,18,.833,4,48,27,10,4,13,20
NOP,37,2022-01-03,Home,UTA,L,104,115,39,97,.402,12,46,.261,14,22,.636,17,47,21,7,5,10,21,41,85,.482,19,39,.487,14,17,.824,10,43,22,6,4,14,24
NOP,38,2022-01-04,Home,PHO,L,110,123,36,89,.404,10,33,.303,28,32,.875,15,48,28,7,3,12,21,46,85,.541,17,31,.548,14,20,.700,5,42,32,7,5,10,24
NOP,39,2022-01-06,Home,GSW,W,101,96,35,83,.422,8,34,.235,23,29,.793,8,46,20,7,5,17,18,37,87,.425,7,33,.212,15,18,.833,8,43,22,12,6,14,24
NOP,40,2022-01-09,Away,TOR,L,101,105,34,75,.453,12,33,.364,21,25,.840,7,35,20,5,5,13,18,36,85,.424,14,34,.412,19,20,.950,15,46,18,8,3,12,20
NOP,41,2022-01-11,Home,MIN,W,128,125,42,76,.553,16,33,.485,28,37,.757,9,38,33,6,1,20,26,42,86,.488,18,39,.462,23,31,.742,9,32,27,11,4,13,24
NOP,42,2022-01-13,Home,LAC,W,113,89,43,97,.443,14,39,.359,13,16,.813,13,57,23,8,4,6,18,31,81,.383,10,34,.294,17,20,.850,5,46,19,2,7,15,16
